REGISTRATION_SCHOOL_CODE,REGISTRATION_SCHOOL_YEAR,REGISTRATION_ASN,REGISTRATION_START_DATE,REGISTRATION_EXIT_DATE
1135,2024,029087831,05-SEP-23,26-JUN-24
2078,2024,042906439,05-SEP-23,26-JUN-24
1107,2024,001623629,05-SEP-23,26-JUN-24
2078,2024,002347632,05-SEP-23,26-JUN-24
0590,2024,023179964,05-SEP-23,30-JAN-24
1115,2024,013182028,05-SEP-23,26-JUN-24
1203,2024,000430620,05-SEP-23,26-JUN-24
1111,2024,019217588,05-SEP-23,26-JUN-24
0590,2024,040772825,05-SEP-23,26-JUN-24
1102,2024,049953418,05-SEP-23,26-JUN-24
1101,2024,052819902,05-SEP-23,26-JUN-24
1101,2024,024056740,05-SEP-23,26-JUN-24
2078,2024,002509934,05-SEP-23,26-JUN-24
1108,2024,015016844,05-SEP-23,26-JUN-24
1112,2024,000795337,05-SEP-23,26-JUN-24
1109,2024,001687574,05-SEP-23,26-JUN-24
2078,2024,012486735,05-SEP-23,26-JUN-24
1101,2024,040165889,05-SEP-23,26-JUN-24
1103,2024,008433956,05-SEP-23,26-JUN-24
2078,2024,034012642,05-SEP-23,26-JUN-24
1115,2024,033768616,05-SEP-23,26-JUN-24
1113,2024,012074382,05-SEP-23,26-JUN-24
1303,2024,013895298,05-SEP-23,26-JUN-24
1303,2024,006340047,05-SEP-23,26-JUN-24
1115,2024,042671991,05-SEP-23,26-JUN-24
1101,2024,015294185,05-SEP-23,26-JUN-24
1115,2023,017223349,31-JAN-23,27-JUN-23
