COURSE_COSE,COURSE_ENGLISH_FULL_NAME,COURSE_ENGLISH_SHORT_NAME,COURSE_FRENCH_FULL_NAME,COURSE_FRENCH_SHORT_NAME
KAE2576,Sales and Service 20-4,Sales and Service 20-4,Vente et après-vente 20-4,Vente et apres-vente 20-4
LDC1263,Mentorship 15,Mentorship 15,Mentorat 15,Mentorat 15
LDC1437,Perspective for Living 15,Perspective for Living 15,Perspectives de vie 15,Perspectives de vie 15
LDC1428,Electronic Music 15,Electronic Music 15,Musique electronique 15,Musique electronique 15
LDC1409,Theatre Technology 15,Theatre Technology 15,Techno. theatre 15,Techno. theatre 15
LDC1462,Drill and Parade 15,Drill and Parade 15,Marche et défilé militaires 15,Mar et déf milit 15
LDC1455,Outdoor Living 15,Outdoor Living 15,Vie en plein air 15,Vie en plein air 15
LDC1606,Hotel Management 15,Hotel Management 15,Gerance d'hotel 15,Gerance d'hotel 15
LDC1535,General Business 15,General Business 15,Commerce general 15,Commerce general 15
LDC1608,Secretarial Services 15,Secretarial Services 15,Services de secret. 15,Services de secret. 15
LDC1629,Teacher Aide 15,Teacher Aide 15,Assist enseignement 15,Assist enseignement 15
LDC1628,Sp Ed Teaching Asst 15,Sp Ed Teaching Asst 15,Adj enseign (ad sc) 15,Adj enseign (ad sc) 15
LDC1667,Aircraft Mechanic 15,Aircraft Mechanic 15,Mec moteurs d'avion 15,Mec moteurs d'avion 15
LDC1639,Advertising 15,Advertising 15,Publicite 15,Publicite 15
LDC1684,Custodial Assistant 15,Custodial Assistant 15,Prep. entretien 15,Prep. entretien 15
LDC1712,Real Estate Secretary 15,Real Estate Secretary 15,Sec. agence immob. 15,Sec. agence immob. 15
LDC1711,Printer 15,Printer 15,Imprimerie 15,Imprimerie 15
LDC1710,Record Keeping 15,Record Keeping 15,Tenue des registres 15,Tenue registres 15
LDC1708,Plumber 15,Plumber 15,Plomberie 15,Plomberie 15
LDC1753,Marine Biology 15,Marine Biology 15,Biologie marine 15,Biologie marine 15
LDC1723,Science Literacy 15,Science Literacy 15,Littératie scientifique 15,Littératie sci 15
LDC1766,Global Enviro Science 15,Global Enviro Science 15,Sci. envir. mondial 15,Sci. envir. mondial 15
LDC2086,Sports Education 25,Sports Education 25,Formation en sports 25,Form en sport 25
LDC2083,Russian 25,Russian 25,Langue russe 25,Lang russe 25
LDC2192,Asia Pacific Rim Studies 25,Asia Pacific Rim Studies 25,Et. Asie/Pacifique 25,Et. Asie/Pacifique 25
LDC2273,Student Lead Safe&Care 25,Student Lead Safe&Care 25,Animation par élève sûre et attentive 25,Anim élè sûre et attent 25
LDC2462,Drill and Parade 25,Drill and Parade 25,Marche et défilé militaires 25,Mar et déf milit 25
LDC2456,Outdoor Leadership 25,Outdoor Leadership 25,Leadeur. en plein air 25,Leadeur. en plein air 25
LDC2452,Ambassador Program 25,Ambassador Program 25,Prog. ambassadeur 25,Prog. ambassadeur 25
LDC2605,Hairstylist 25,Hairstylist 25,Coiffure 25,Coiffure 25
LDC2522,Triathlon 25,Triathlon 25,Triathlon 25,Triathlon 25
LDC2610,Metal Worker 25,Metal Worker 25,Soudeur 25,Soudeur 25
LDC2753,Marine Biology 25,Marine Biology 25,Biologie marine 25,Biologie marine 25
LDC2813,Sports Medicine 25,Sports Medicine 25,Medecine sportive 25,Medecine sportive 25
LDC2812,Appliance Servicing 25,Appliance Servicing 25,Entr. el.-men. 25,Entr. el.-men. 25
LDC2766,Global Enviro Science 25,Global Enviro Science 25,Sci. envir. mondial 25,Sci. envir. mondial 25
LDC2868,Drafting 25,Drafting 25,Dessin industriel 25,Dessin industriel 25
LDC2978,Photography 25,Photography 25,Photographie 25,Photographie 25
LDC3049,Local Area Networking 35,Local Area Networking 35,Résaux locaux 35,Réseaux loc 35
LDC3082,English Critical Reading and Writing:  Prose 35,Engl Crit Read Writ 35,Lecture et écriture critiques en anglais : prose 35,Lect et écrit crit anglr 35
LDC3189,Blackfoot Studies 35,Blackfoot Studies 35,Etude Pieds-Noirs 35,Etude Pieds-Noirs 35
